user_id,n_features,max_weight,mean_weight
173599,9,0.4728,0.3194
173741,7,0.5581,0.3637
174069,42,0.2434,0.145
174206,23,0.3186,0.196
174231,13,0.3905,0.2693
174279,4,0.5758,0.4962
174346,1,1.0,1.0
174585,20,0.4002,0.2131
174817,82,0.5581,0.0949
174886,18,0.4463,0.216
174903,22,0.3874,0.1974
175105,188,0.2787,0.0644
175254,104,0.2882,0.092
175306,45,0.3553,0.1385
175397,28,0.3562,0.1762
175625,13,0.4464,0.2624
175720,22,0.3999,0.1991
175745,5,0.5548,0.4387
175802,7,0.4658,0.3708
175816,47,0.2842,0.1361
175935,61,0.1794,0.1223
176069,80,0.2463,0.1065
176425,14,0.4069,0.2507
176574,132,0.2765,0.0739
176603,11,0.5503,0.2811
176697,25,0.3152,0.1908
176714,44,0.4102,0.1285
176723,20,0.3624,0.2105
177045,25,0.2833,0.1937
177104,49,0.209,0.1365
177141,78,0.3088,0.1067
177296,39,0.4016,0.1426
177966,16,0.4047,0.2338
177988,9,0.4653,0.3166
178193,114,0.3025,0.0835
178299,38,0.2373,0.154
178444,9,0.5236,0.3107
178619,22,0.3081,0.2051
178624,87,0.1864,0.1032
178968,15,0.4434,0.2354
179218,76,0.1699,0.1107
179253,7,0.5671,0.3509
179378,143,0.3479,0.0742
179596,27,0.2937,0.1829
179798,92,0.3372,0.0899
179900,24,0.4498,0.1819
179940,3,0.7625,0.5587
180031,18,0.3177,0.2266
180143,5,0.5687,0.434
180178,40,0.3442,0.1463
180347,10,0.4771,0.296
180559,156,0.5743,0.055
180829,9,0.4111,0.3275
181086,20,0.2866,0.2195
181491,8,0.4835,0.3405
181600,4,0.5525,0.4969
181908,36,0.2744,0.1559
182083,336,0.3001,0.0436
182096,20,0.3795,0.21
182484,22,0.3154,0.2054
182548,2,0.8876,0.6741
182703,2,0.8902,0.6729
182849,49,0.2487,0.1341
183036,9,0.4859,0.3192
183039,29,0.392,0.1711
183172,3,0.7173,0.5503
183320,10,0.4423,0.2988
183387,14,0.4553,0.2532
184095,21,0.3687,0.2073
184505,3,0.6518,0.5735
184625,19,0.5298,0.2047
184642,14,0.4308,0.2539
184709,18,0.3437,0.2291
184749,17,0.3941,0.2307
184798,18,0.3707,0.2254
184977,14,0.3584,0.2576
185073,22,0.5659,0.1782
185091,37,0.2324,0.1602
185260,16,0.3362,0.2403
185289,17,0.3843,0.2317
185789,11,0.451,0.2864
185849,21,0.3128,0.2093
185947,38,0.2372,0.1572
186041,21,0.465,0.2012
186154,4,0.5891,0.4962
186227,12,0.4898,0.2755
186246,21,0.3903,0.2098
